procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 0  0  16592 11289720 1659092 16500420    0    0     0     2    0    0  1  0 99  0  0 2018-03-21 09:03:09
 0  0  16592 11288572 1659092 16500424    0    0     0     1  557  585  0  0 100  0  0 2018-03-21 09:03:10
 0  0  16592 11288272 1659092 16500404    0    0     0     0  443  605  0  0 100  0  0 2018-03-21 09:03:11
 1  0  16592 11286456 1659092 16500424    0    0     0     0  563  702  0  0 100  0  0 2018-03-21 09:03:12
 0  0  16592 11286704 1659092 16500436    0    0     0    70  566  674  0  0 100  0  0 2018-03-21 09:03:13
 0  0  16592 11287216 1659092 16500420    0    0     0     9  482  602  0  0 100  0  0 2018-03-21 09:03:14
 1  0  16592 11287588 1659092 16500444    0    0     0    40  546  766  0  0 100  0  0 2018-03-21 09:03:15
 1  0  16592 11284728 1659092 16500436    0    0     0     0  580  645  0  0 100  0  0 2018-03-21 09:03:16
12  0  16592 10821736 1659092 16482120    0    0     0   341 6626 60595 44  5 51  0  0 2018-03-21 09:03:17
18  0  16592 10189540 1659092 16483028    0    0     0    34 5840 51174 55  3 42  0  0 2018-03-21 09:03:18
21  0  16592 9635904 1659140 16483144    0    0     0     9 6281 32302 64  4 33  0  0 2018-03-21 09:03:19
21  0  16592 9297968 1659148 16483296    0    0     0     1 7191 24821 82  3 16  0  0 2018-03-21 09:03:20
26  0  16592 8780176 1659148 16483292    0    0     0   179 8035 23501 90  3  7  0  0 2018-03-21 09:03:21
12  0  16592 8661508 1659152 16483280    0    0     0   636 5536 38096 65  2 33  0  0 2018-03-21 09:03:22
33  0  16592 8537828 1659152 16483268    0    0     0    67 7563 76994 74  2 24  0  0 2018-03-21 09:03:23
12  0  16592 8119328 1659152 16483248    0    0     0     1 7743 52605 75  2 23  0  0 2018-03-21 09:03:24
14  0  16592 7838544 1659164 16483332    0    0     0   120 8242 45875 81  2 16  0  0 2018-03-21 09:03:25
21  0  16592 7766408 1659188 16484380    0    0     0   391 9082 68318 64  2 33  1  0 2018-03-21 09:03:26
19  0  16592 7557948 1659192 16484440    0    0     0  1133 8683 64976 77  2 21  0  0 2018-03-21 09:03:27
14  0  16592 7084664 1659192 16484444    0    0     0     1 8521 37355 79  2 19  0  0 2018-03-21 09:03:28
28  0  16592 7028076 1659244 16484452    0    0     0    26 7336 44577 74  1 25  0  0 2018-03-21 09:03:29
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
18  0  16592 6813732 1659272 16484484    0    0     0     0 7285 37364 77  1 22  0  0 2018-03-21 09:03:30
 7  0  16592 6804800 1659272 16484376    0    0     0    47 3365 17355 39  0 60  0  0 2018-03-21 09:03:31
 9  0  16592 6841164 1659272 16484368    0    0     0   439 3017 12039 32  0 67  0  0 2018-03-21 09:03:32
 9  0  16592 6490292 1659272 16484356    0    0     0    18 4651 23699 54  2 44  0  0 2018-03-21 09:03:33
 7  0  16592 6423748 1659272 16484396    0    0     0    62 3072 4782 33  0 67  0  0 2018-03-21 09:03:34
 8  0  16592 6418340 1659272 16484348    0    0     0    10 3202 15552 35  0 65  0  0 2018-03-21 09:03:35
 8  0  16592 6416924 1659276 16484372    0    0     0    47 2917 3883 31  0 69  0  0 2018-03-21 09:03:36
14  0  16592 6354988 1659304 16484336    0    0     0   920 4487 14640 46  1 53  0  0 2018-03-21 09:03:37
